2014-05-04 20:47:44 INFO  HUBEndPointsStatus:106 - ...total 1 endpoints found
2014-05-04 21:39:17 WARN  riot:77 - [line: 246, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 250, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 252, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 256, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 258, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 262, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 264, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 268, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 270, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 274, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 276, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 280, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 282, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 286, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 288, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 292, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 294, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 298, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 300, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 304, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 306, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 310, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 312, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 316, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 318, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 322, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 324, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 328, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 330, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 334, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 336, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 340, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 342, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 346, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 348, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 352, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 354, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 358, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 360, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 364, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 366, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 370, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 372, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 376, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 378, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 382, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 384, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 388, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 390, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 394, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 396, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 400, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 402, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 406, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 408, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 412, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 414, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 418, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 420, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 424, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 426, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 430, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 432, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 436, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 438, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 442, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 444, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 448, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 450, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 454, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 456, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 460, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 462, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 466, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 468, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 472, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 474, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 478, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 480, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 484, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 486, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 490, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 492, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 496, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 498, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 502, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 504, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 508, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 510, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 514, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 516, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 520, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 522, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 526, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 528, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 532, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 534, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 538, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 540, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 544, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 546, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 550, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 552, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 556, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 558, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 562, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 564, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 568, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 570, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 574, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 576, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 580, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 582, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 586, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 588, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 592, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 594, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 598, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 600, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 604, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 606, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 610, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 612, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 616, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 618, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 622, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 624, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 628, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 630, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 634, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 636, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 640, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 642, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 646, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 648, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 652, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 654, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 658, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 660, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 664, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 666, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 670, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 672, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 676, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 678, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 682, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 684, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 688, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 690, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 694, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 696, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 700, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 702, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 706, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 708, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 712, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 714, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 718, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 720, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 724, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 726, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 730, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 732, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 736, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 738, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 742, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 744, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 748, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 750, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 754, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 756, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 760, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 762, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 766, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 768, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 772, col: 44] {W108} Not an XML Name: ''
